Code, Description, CodeType, Deprecated, Created, Modified, 
125613, Caproidae, SpecWoRMS, False, 2014-02-06, 2014-02-06, 
125700, Beryx, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
125802, Lophius, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
125909, Ammodytes, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
125911, Hyperoplus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
125912, Anarhichas, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
125930, Callionymus, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
125946, Trachurus, SpecWoRMS, False, 2015-02-10, 2015-02-10, 
125999, Pomatoschistus, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126021, Labrus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126029, Dicentrarchus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126122, Lepidorhombus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126160, Liparis, SpecWoRMS, False, 2013-11-28, 2013-11-28, 
126175, Sebastes, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126281, Anguilla anguilla, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126285, Conger conger, SpecWoRMS, False, 2013-12-08, 2013-12-08, 
126375, Belone belone, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126394, Beryx decadactylus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126395, Beryx splendens, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126402, Hoplostethus atlanticus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126415, Alosa fallax, SpecWoRMS, False, 2013-11-26, 2013-11-26, 
126417, Clupea harengus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126421, Sardina pilchardus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126425, Sprattus sprattus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126426, Engraulis encrasicolus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126435, Gadiculus argenteus, SpecWoRMS, False, 2013-12-09, 2013-12-09, 
126436, Gadus morhua, SpecWoRMS, False, 2013-05-02, 2015-12-10, 
126437, Melanogrammus aeglefinus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126438, Merlangius merlangus, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126439, Micromesistius poutassou, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
126440, Pollachius pollachius, SpecWoRMS, False, 2013-05-02, 2015-12-14, 
